name,category,duration,energy_level,social_context,lat,lng,tags,source_url,source_name,start_date,image_url
"HOA/CONDO Board Roundtable March","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260116608?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/bde5859c6cfb2e91e1682c9b3f3b80e9.png"
"How To Avoid The Top Five Medicare Mistakes","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/221559?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/f7beb9814991e698f897fdf435cc2a98.png"
"Job Strategies for Seniors, Retirees and the Young at Heart","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260117036?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/5fd7c9dd692f1e04a2e1373fe99af081.png"
"Music Class with Mr. Jeffrey","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260131291?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/764c75a4173a9db9e0abc9f4de6739b7.png"
"Musical Theatre: Hadestown - Teen Edition","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260122495?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","May 1 - 10","https://org-images.withapps.io/16/resources/8d9cd257a52963133684831b0bc6fd0b.png"
"SoSco Duo: A Wee Bit O' Irish","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/243867?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/7f8dea279be3586c25a872bf0bb99b9c.png"
"Tail Waggin' Tales","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260115724?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/images/66690a7e27441b1768090e9e2faaedbb.jpg"
"Teen & Adult Scottsdale Artists' School Programs","Wellness",90,1,"Either",,,"wellness|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260113378?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/lgcy/consumer/uploads/d60abb3e183dfde2fa513696923fd929.png"
"Tween Scottsdale Artists' School Programs","Wellness",90,1,"Either",,,"wellness|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260114308?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/lgcy/consumer/uploads/d60abb3e183dfde2fa513696923fd929.png"
"West Coast Conference Baseball Tournament","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260118127?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","May 20 - May 23","https://org-images.withapps.io/16/resources/19fd482ec32b51d02196a5e046b4f746.png"
"Lasso Steve","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260130120?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","Saturdays | 12:00 PM - 2:00 PM","https://org-images.coing.co/lgcy/consumer/uploads/1669d98ba3e1f4b2315ee1be47752d85.png"
"Library Board - Regular Meeting - 03-11-26","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260130110?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/hubs/e9bcd67ea2c2b1b2058bb9a53e3091f1.png"
"Library Book Discussions @ The Seniors Centers","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260113125?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/1164788f8262fe8e4a05f00901b3f92d.png"
"Library Book Discussions @ The Seniors Centers","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260130248?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/2ea09ecc2f03f57099c8c7b5bf42521e.png"
"Library Book Discussions @ the Senior Centers","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260117026?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/0648e8efa95e3704be9fffc000e64999.png"
"Library Creatives: Telling Your Story through Abstract Forms","Wellness",90,1,"Either",,,"wellness|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260112888?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/51fc2e719f8b73444eead905e6e01e40.png"
"Littlest Scientists","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260131294?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/80cf9bbe7e69438416ef4fc1f6c3ca73.png"
"Littlest Scientists","Wellness",90,1,"Either",,,"wellness|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/221528?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/d70c0b79845b718d4f3a778265a01c85.png"
"Littlest Scientists","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260131295?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/80cf9bbe7e69438416ef4fc1f6c3ca73.png"
"Littlest Scientists","Wellness",90,1,"Either",,,"wellness|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/221529?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/d70c0b79845b718d4f3a778265a01c85.png"
"More Stories from the Files of the Scottsdale Police Department","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260115862?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/7d7cf9a34fe52ae445926cb5fda1f362.png"
"Movies That Matter with Tom Samp: Families (1970-1996)","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/219692?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/966fc56ddf252b6d2965f6299eb246ca.png"
"Movies That Matter with Tom Samp: Families (1970-1996)","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/219693?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/9958f03fa103967151e5c590bb36cf21.png"
"Mr. Paul’s Musical Storytime","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260131297?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/afe6ff05a582f2ce78cdc5d03a433616.png"
"Music Class with Mr. Jeffrey","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260131292?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/764c75a4173a9db9e0abc9f4de6739b7.png"
"Mustang Movie Film Series: ""Lilly"" (2025)","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260128093?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/images/3795319de14a76029a3c4b8e7c187db6.jpg"
"Mustang Movie Film Series: ""On the Basis of Sex"" (2018)","Movement",90,3,"Either",,,"movement|event|outdoor|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260128089?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/images/3795319de14a76029a3c4b8e7c187db6.jpg"
"Opening Day Celebration at Western Spirit","Explore",90,2,"Either",,,"explore|event|cvb|rating:source-curated","https://www.experiencescottsdale.com/event/opening-day-celebration-at-western-spirit/373481/","Experience Scottsdale Events","2026-03-28","https://assets.experiencescottsdale.com/simpleview/image/upload/c_fill,h_396,q_75,w_704/v1/crm/scottsdale/SMoW-Museum-Building-medium_A7815345-C74D-7BA1-83FD008D80708304_a78b11b5-fa18-0a9f-7293791784c43937.jpg"
"Parenting on the Same Page","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260131315?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/hubs/1f94c8a6548de81c263ba80ba889c0b6.png"
"PhxArt Docents","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260112623?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/f584670d809d87a40683ab170bc962fc.png"
"Raising a Reader","Wellness",90,1,"Either",,,"wellness|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260131305?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/6dec597a254f65030c6293059e7ea27c.png"
"Rodeo Scottsdale (Parada Del Sol)","Explore",90,2,"Either",,,"explore|event|cvb|rating:source-curated","https://www.experiencescottsdale.com/event/rodeo-scottsdale-(parada-del-sol)/373312/","Experience Scottsdale Events","2026-03-05","https://assets.experiencescottsdale.com/simpleview/image/upload/c_fill,h_396,q_75,w_704/v1/crm/scottsdale/Parada-del-Sol-Rodeo0_cb92258e-5056-b3a8-497fe56e95549aea.gif"
"Native Spirit Gold Palette ArtWalk","Movement",90,3,"Either",,,"movement|event|outdoor|cvb|rating:source-curated","https://www.experiencescottsdale.com/event/native-spirit-gold-palette-artwalk/373157/","Experience Scottsdale Events","2026-03-05","https://assets.experiencescottsdale.com/simpleview/image/upload/c_fill,h_396,q_75,w_704/v1/crm/scottsdale/uiEe0T1w_B671EA0A-D03B-530B-8566A67B88767186_b6730eaa-f9af-faad-8436e573938713df.jpg"
